Best Buy High Frequency Alerts

Second:  143152 avg price:  545.273939394 #of crossings:  67
	millisecond 	price
	094455003 	546.190
	094455012 	546.190
	094455013 	546.190
	094455014 	546.180
	094455016 	546.180
	094455019 	546.180
	094455020 	546.360
	094455034 	546.180
	094455038 	546.360
	094455040 	546.180
	094455048 	546.820
	094455062 	546.360
	094455063 	546.360
	094455069 	546.320
	094455070 	546.820
	094455072 	546.180
	094455074 	547.170
	094455087 	546.360
	094455089 	546.360
	094455090 	546.360
	094455091 	546.360
	094455092 	546.170
	094455093 	546.170
	094455094 	546.320
	094455095 	546.190
	094455096 	546.320
	094455098 	546.160
	094455099 	546.180
	094455100 	546.160
	094455101 	549.130
	094455102 	546.150
	094455119 	546.320
	094455124 	546.130
	094455125 	546.620
	094455126 	546.120
	094455127 	546.110
	094455128 	546.130
	094455129 	546.120
	094455136 	546.110
	094455139 	546.620
	094455140 	546.000
	094455141 	546.000
	094455144 	546.140
	094455145 	546.000
	094455152 	546.620
	094455154 	546.000
	094455156 	546.000
	094455160 	545.990
	094455161 	546.450
	094455165 	546.000
	094455173 	545.990
	094455180 	546.000
	094455183 	545.990
	094455184 	545.990
	094455189 	546.000
	094455201 	545.990
	094455207 	545.980
	094455208 	545.940
	094455209 	545.940
	094455210 	545.940
	094455211 	545.940
	094455212 	545.980
	094455213 	546.380
	094455221 	545.940
	094455223 	545.930
	094455224 	546.450
	094455225 	546.450
	094455229 	546.000
	094455230 	545.940
	094455231 	546.000
	094455235 	546.220
	094455237 	545.920
	094455238 	546.000
	094455239 	545.930
	094455244 	545.920
	094455245 	545.930
	094455248 	545.940
	094455251 	546.000
	094455255 	546.000
	094455261 	545.910
	094455263 	545.920
	094455266 	545.940
	094455269 	546.380
	094455270 	546.170
	094455274 	546.450
	094455279 	545.910
	094455284 	545.910
	094455289 	545.910
	094455291 	546.000
	094455308 	546.000
	094455311 	546.170
	094455312 	546.170
	094455315 	546.170
	094455316 	545.910
	094455328 	545.910
	094455330 	546.170
	094455331 	545.910
	094455348 	545.910
	094455350 	546.170
	094455355 	546.120
	094455356 	545.910
	094455359 	545.910
	094455363 	546.450
	094455364 	545.910
	094455367 	546.450
	094455381 	546.380
	094455395 	546.380
	094455419 	546.120
	094455444 	546.380
	094455453 	545.910
	094455466 	546.380
	094455479 	546.120
	094455482 	546.380
	094455489 	546.380
	094455502 	545.930
	094455527 	545.910
	094455559 	545.930
	094455568 	545.900
	094455575 	546.000
	094455591 	546.060
	094455592 	546.000
	094455602 	545.930
	094455611 	546.450
	094455617 	546.000
	094455620 	546.060
	094455621 	546.450
	094455641 	546.450
	094455662 	546.000
	094455675 	546.000
	094455680 	546.000
	094455702 	546.000
	094455722 	546.000
	094455769 	546.000
	094455786 	546.000
	094455805 	546.000
	094455819 	545.800
	094455820 	546.000
	094455873 	546.000
	094455875 	546.450
	094455878 	546.000
	094455906 	546.060
	094455911 	546.000
	094455914 	546.000
	094455929 	546.000
	094455943 	545.920
	094455948 	546.380
	094455953 	546.000
	094455959 	546.000
	094455961 	545.920
	094455972 	546.000
	094455974 	546.000
	094455977 	546.060
Second:  094603 avg price:  545.619666667 #of crossings:  52
	millisecond 	price
	094603001 	545.700
	094603002 	546.420
	094603003 	545.700
	094603004 	545.690
	094603005 	545.690
	094603006 	546.000
	094603011 	545.710
	094603012 	545.680
	094603013 	545.670
	094603014 	545.670
	094603015 	545.670
	094603016 	545.700
	094603019 	545.660
