(second, ((avg best buy, avg best ask), (#crossings best buy, #crossings best ask)))
(u'104517', ((425.91888888888889, 548.38666666666666), (4, 6)))
(u'104518', ((547.33545454545458, 547.98454545454547), (4, 6)))
(u'104519', ((182.55666666666664, 548.67999999999995), (2, 0)))
(u'104520', ((328.61199999999997, 548.50399999999991), (2, 1)))
(u'104521', ((547.53125000000011, 547.98187500000006), (2, 11)))
(u'104522', ((437.96800000000002, 548.16399999999999), (1, 1)))
(u'104523', ((547.58750000000009, 547.80749999999989), (3, 2)))
(u'104524', ((547.1110000000001, 547.84199999999998), (5, 3)))
(u'104525', ((437.81800000000004, 547.952), (2, 2)))
(u'104526', ((437.81000000000006, 547.952), (2, 2)))
(u'104527', ((547.33833333333325, 547.96583333333331), (5, 5)))
(u'104528', ((508.17642857142857, 547.98571428571438), (2, 6)))
(u'104529', ((547.63, 547.76999999999998), (0, 0)))
(u'104530', ((547.31333333333339, 547.87666666666667), (2, 1)))
(u'104531', ((546.59000000000003, 548.05999999999995), (1, 1)))
(u'104532', ((547.42750000000001, 547.98749999999995), (1, 2)))
(u'104533', ((547.65999999999997, 547.79999999999995), (0, 0)))
(u'104534', ((547.54999999999995, 547.75), (0, 0)))
(u'104536', ((478.51666666666648, 548.11583333333328), (6, 14)))
(u'104537', ((547.40199999999993, 547.87799999999993), (1, 4)))
(u'104538', ((547.0971428571429, 547.98142857142852), (2, 2)))
(u'104539', ((547.14499999999998, 548.18499999999995), (1, 1)))
(u'104540', ((546.92999999999995, 547.89199999999994), (2, 2)))
(u'104541', ((364.75666666666666, 548.34666666666669), (2, 2)))
(u'104542', ((547.19499999999994, 547.83699999999999), (6, 4)))
(u'104543', ((547.50200000000007, 547.80399999999986), (2, 2)))
(u'104544', ((547.12249999999995, 548.67999999999995), (3, 0)))
(u'104545', ((546.55999999999995, 548.88999999999999), (1, 1)))
(u'104546', ((547.11500000000001, 548.67999999999995), (1, 0)))
(u'104548', ((547.54999999999995, 547.67999999999995), (0, 0)))
(u'104549', ((547.05999999999995, 549.65499999999997), (1, 1)))
(u'104550', ((546.62294117647082, 548.75705882352941), (2, 12)))
(u'104551', ((469.22428571428566, 548.43857142857132), (2, 3)))
(u'104552', ((547.56500000000005, 548.22499999999991), (1, 1)))
(u'104553', ((409.91250000000002, 548.74749999999995), (1, 2)))
(u'104555', ((547.02499999999998, 548.23249999999996), (1, 1)))
(u'104556', ((546.74000000000001, 548.53857142857146), (4, 3)))
(u'104557', ((546.22399999999993, 548.298), (1, 1)))
(u'104558', ((547.57000000000005, 547.64999999999998), (0, 0)))
(u'104559', ((518.23842105263145, 548.37894736842088), (2, 12)))
(u'104600', ((547.01999999999998, 548.18999999999994), (3, 1)))
(u'104601', ((546.85119999999984, 547.9072000000001), (11, 10)))
(u'104602', ((547.2828571428571, 547.89857142857136), (4, 3)))
(u'104603', ((520.8709523809523, 549.40238095238089), (2, 12)))
(u'104604', ((486.29666666666657, 548.51666666666654), (2, 6)))
(u'104605', ((546.65615384615398, 548.04230769230753), (4, 6)))
(u'104606', ((507.95857142857142, 549.58357142857142), (2, 6)))
(u'104607', ((547.41999999999996, 548.40666666666664), (0, 1)))
(u'104608', ((510.60600000000005, 548.37266666666653), (2, 8)))
(u'104609', ((546.97619047619048, 547.80999999999995), (8, 9)))
(u'104610', ((546.91312499999981, 547.87458333333336), (21, 18)))
(u'104611', ((546.69000000000005, 547.84000000000003), (0, 0)))
(u'104612', ((546.81133333333332, 548.60000000000002), (8, 7)))
(u'104613', ((547.05999999999995, 547.48000000000002), (0, 0)))
(u'104614', ((546.83166666666659, 547.84749999999997), (7, 6)))
(u'104615', ((547.18999999999994, 548.10538461538454), (3, 6)))
(u'104616', ((547.11000000000001, 547.39999999999998), (2, 0)))
(u'104617', ((547.0642857142858, 547.58714285714291), (3, 4)))
(u'104618', ((547.22000000000003, 548.09500000000003), (1, 1)))
(u'104619', ((546.73666666666668, 549.96333333333337), (1, 2)))
(u'104620', ((547.21000000000004, 547.48333333333335), (0, 1)))
(u'104622', ((546.80999999999995, 549.35500000000002), (2, 1)))
(u'104623', ((547.23000000000002, 547.40999999999997), (0, 0)))
(u'104624', ((546.74166666666667, 548.54999999999995), (4, 3)))
(u'104626', ((547.22000000000003, 547.49000000000001), (0, 0)))
(u'104627', ((547.25, 547.47000000000003), (0, 0)))
(u'104629', ((547.25, 548.04499999999996), (0, 1)))
(u'104630', ((546.53800000000001, 548.80599999999981), (1, 5)))
(u'104631', ((546.36000000000001, 549.98000000000002), (0, 0)))
(u'104632', ((364.53666666666669, 548.24333333333334), (1, 1)))
(u'104633', ((547.02636363636361, 547.64727272727271), (2, 3)))
(u'104634', ((328.154, 328.57799999999997), (3, 3)))
(u'104635', ((218.89400000000001, 109.468), (2, 2)))
(u'104636', ((486.08962962962966, 385.43296296296296), (6, 9)))
(u'104637', ((546.88, 386.42705882352948), (9, 9)))
(u'104638', ((546.55666666666673, 182.77999999999997), (4, 2)))
(u'104640', ((516.95600000000002, 438.27850000000001), (3, 8)))
(u'104641', ((546.63, 273.62), (1, 1)))
(u'104642', ((546.94333333333327, 364.94111111111118), (4, 5)))
(u'104643', ((546.44333333333327, 456.13499999999999), (3, 2)))
(u'104644', ((546.2833333333333, 547.24666666666667), (1, 1)))
(u'104648', ((547.0, 273.65499999999997), (0, 1)))
(u'104650', ((546.99000000000001, 547.28999999999996), (0, 1)))
(u'104651', ((546.40857142857146, 547.59785714285715), (4, 6)))
(u'104652', ((546.75692307692316, 547.20230769230773), (6, 4)))
(u'104653', ((546.61269841269814, 426.55412698412704), (28, 23)))
(u'104654', ((546.6966666666666, 547.18166666666673), (1, 1)))
(u'104655', ((546.32142857142856, 471.75142857142862), (3, 2)))
(u'104656', ((546.71249999999986, 410.40625), (2, 2)))
(u'104657', ((546.65800000000002, 547.31000000000006), (1, 3)))
(u'104658', ((546.79999999999995, 547.13999999999999), (0, 0)))
(u'104659', ((546.52111111111105, 364.77111111111111), (3, 4)))
(u'104700', ((546.48857142857139, 390.92714285714283), (4, 3)))
(u'104701', ((546.44285714285718, 469.04285714285703), (1, 2)))
(u'104702', ((546.79999999999995, 364.65666666666669), (0, 1)))
(u'104703', ((546.67875000000004, 410.16875000000005), (2, 2)))
(u'104704', ((544.46400000000006, 481.48399999999992), (2, 6)))
(u'104705', ((546.4475000000001, 546.81499999999994), (1, 1)))
(u'104706', ((546.11250000000007, 547.0), (5, 4)))
(u'104707', ((545.77857142857158, 469.01857142857142), (3, 2)))
(u'104708', ((546.08625000000006, 478.60499999999996), (3, 2)))
(u'104709', ((546.15692307692302, 463.09384615384613), (6, 4)))
(u'104710', ((546.51600000000008, 437.60099999999994), (3, 4)))
(u'104711', ((546.06799999999998, 437.666), (1, 2)))
(u'104712', ((546.39391304347816, 451.91608695652178), (10, 5)))
(u'104713', ((546.57499999999993, 455.87833333333333), (1, 1)))
(u'104714', ((546.29999999999995, 547.07999999999993), (1, 1)))
(u'104715', ((546.44368421052627, 489.5626315789475), (6, 4)))
(u'104716', ((516.16611111111115, 425.40499999999997), (2, 5)))
(u'104717', ((546.57000000000005, 546.97000000000003), (0, 0)))
(u'104718', ((546.58000000000004, 410.19499999999999), (1, 2)))
(u'104719', ((546.09500000000003, 546.9375), (2, 2)))
(u'104720', ((546.49000000000001, 546.97800000000007), (2, 2)))
(u'104721', ((546.58749999999998, 546.94749999999999), (3, 2)))
(u'104722', ((546.52200000000005, 546.94600000000003), (2, 3)))
(u'104723', ((546.61733333333336, 474.0146666666667), (5, 4)))
(u'104724', ((546.62625000000003, 341.78250000000003), (5, 2)))
(u'104725', ((447.19818181818187, 348.1400000000001), (4, 7)))
(u'104726', ((546.64999999999998, 546.82000000000005), (0, 0)))
(u'104727', ((182.21333333333334, 182.32333333333335), (1, 1)))
(u'104728', ((455.5333333333333, 455.86666666666673), (1, 1)))
(u'104729', ((546.62285714285713, 546.87857142857149), (4, 3)))
(u'104730', ((327.98999999999995, 328.09399999999999), (4, 1)))
(u'104731', ((273.32499999999999, 273.47000000000003), (1, 1)))
(u'104733', ((546.62909090909091, 497.32999999999998), (3, 2)))
(u'104734', ((546.51099999999985, 492.29599999999999), (2, 2)))
(u'104735', ((546.51281249999988, 427.6037500000001), (13, 10)))
(u'104736', ((546.75, 547.05499999999995), (0, 1)))
(u'104740', ((504.40923076923076, 546.95307692307688), (2, 7)))
(u'104741', ((544.97000000000003, 548.99000000000001), (0, 0)))
(u'104742', ((546.30999999999995, 410.74249999999995), (1, 2)))
(u'104743', ((546.06571428571442, 391.14714285714291), (3, 1)))
(u'104744', ((546.03666666666663, 304.14111111111106), (6, 6)))
(u'104745', ((545.94611111111112, 395.44333333333327), (11, 10)))
(u'104746', ((546.78499999999997, 547.31166666666661), (3, 2)))
(u'104747', ((546.33222222222219, 547.45222222222219), (5, 4)))
(u'104748', ((546.52636363636361, 497.54909090909092), (4, 2)))
(u'104749', ((546.02499999999998, 364.89499999999998), (2, 2)))
(u'104750', ((545.60857142857151, 469.05428571428564), (4, 1)))
(u'104751', ((493.58290322580655, 317.82419354838709), (6, 14)))
(u'104752', ((546.46000000000004, 547.15499999999997), (1, 1)))
(u'104753', ((546.50999999999999, 547.05999999999995), (0, 0)))
(u'104754', ((546.34571428571428, 547.36857142857139), (4, 3)))
(u'104755', ((543.86200000000008, 547.18099999999981), (2, 4)))
(u'104756', ((546.50999999999999, 546.97499999999991), (0, 1)))
(u'104757', ((546.50999999999999, 546.97499999999991), (0, 3)))
(u'104758', ((546.65999999999997, 547.94499999999994), (0, 1)))
(u'104759', ((545.77999999999997, 548.99000000000001), (0, 0)))
(u'104800', ((546.39400000000001, 547.06600000000003), (2, 4)))
(u'104801', ((546.71000000000004, 546.79999999999995), (0, 0)))
(u'104802', ((546.41624999999999, 547.05312500000002), (5, 6)))
(u'104803', ((546.51499999999999, 546.79499999999996), (1, 1)))
(u'104804', ((545.28000000000009, 547.85333333333335), (1, 1)))
(u'104805', ((468.37571428571425, 547.24857142857138), (2, 3)))
(u'104806', ((546.28666666666675, 546.84000000000003), (2, 2)))
(u'104807', ((312.34714285714284, 547.63857142857137), (4, 1)))
(u'104808', ((468.41523809523812, 547.18380952380949), (4, 11)))
(u'104809', ((546.26666666666677, 547.11333333333334), (1, 1)))
(u'104811', ((546.36000000000001, 546.86142857142852), (3, 3)))
(u'104812', ((546.03555555555556, 486.08777777777766), (2, 1)))
(u'104813', ((546.08888888888896, 425.37888888888887), (4, 3)))
(u'104814', ((546.12249999999995, 341.85249999999996), (6, 5)))
(u'104815', ((546.58000000000004, 546.87), (0, 0)))
(u'104816', ((546.58000000000004, 546.78999999999996), (0, 0)))
(u'104817', ((546.07749999999999, 375.93374999999997), (9, 6)))
(u'104818', ((545.67999999999995, 546.76999999999998), (0, 0)))
(u'104819', ((546.23199999999997, 546.90199999999993), (3, 3)))
(u'104820', ((546.45000000000005, 0.0), (0, 0)))
(u'104821', ((546.10749999999985, 273.39999999999998), (2, 2)))
(u'104822', ((546.265625, 410.24312500000002), (8, 7)))
(u'104823', ((546.13666666666666, 455.81333333333328), (2, 1)))
(u'104824', ((546.08900000000017, 437.71519999999987), (18, 12)))
(u'104825', ((546.47111111111133, 395.0672222222222), (6, 9)))
(u'104826', ((546.02666666666664, 501.72416666666663), (7, 2)))
(u'104827', ((546.35592592592593, 466.02370370370386), (12, 7)))
(u'104828', ((546.59199999999998, 546.91800000000001), (2, 3)))
(u'104829', ((546.48909090909103, 497.24545454545461), (4, 1)))
(u'104830', ((504.34153846153851, 462.92346153846148), (4, 5)))
(u'104831', ((462.30230769230764, 294.61538461538464), (2, 7)))
(u'104832', ((443.890625, 478.51125000000002), (5, 4)))
(u'104833', ((546.45333333333338, 486.20999999999992), (3, 2)))
(u'104834', ((546.52999999999997, 547.89999999999998), (1, 1)))
(u'104835', ((546.52499999999998, 546.82999999999993), (1, 1)))
(u'104836', ((545.58500000000004, 547.89999999999998), (1, 1)))
(u'104837', ((546.56500000000005, 547.89999999999998), (1, 1)))
(u'104838', ((546.53499999999997, 546.88499999999999), (1, 1)))
(u'104839', ((546.57666666666671, 547.16666666666663), (1, 1)))
(u'104840', ((545.55999999999995, 547.89999999999998), (1, 1)))
(u'104841', ((546.57222222222231, 425.37111111111113), (5, 4)))
(u'104842', ((546.47666666666657, 364.65333333333336), (1, 2)))
(u'104843', ((546.50999999999999, 0.0), (0, 0)))
(u'104844', ((545.32047619047614, 390.69619047619045), (2, 11)))
(u'104845', ((546.53999999999996, 546.80333333333328), (1, 1)))
(u'104846', ((546.54999999999995, 547.875), (0, 1)))
(u'104847', ((446.8890909090909, 397.61909090909097), (1, 6)))
(u'104848', ((503.65307692307692, 378.49615384615379), (1, 6)))
(u'104849', ((546.48777777777786, 546.72777777777776), (3, 4)))
(u'104850', ((546.23363636363638, 348.1809090909091), (3, 5)))
(u'104851', ((546.15951219512192, 413.38365853658547), (15, 15)))
(u'104852', ((546.1023529411766, 450.41764705882343), (5, 3)))
(u'104853', ((545.98500000000001, 455.73999999999995), (4, 2)))
(u'104854', ((546.13600000000008, 491.84800000000007), (3, 2)))
(u'104855', ((526.10927710843373, 507.03204819277079), (6, 9)))
(u'104856', ((545.60090909090911, 449.17818181818188), (4, 4)))
(u'104857', ((545.9661111111111, 457.59444444444449), (11, 6)))
(u'104858', ((545.89913043478259, 405.72304347826082), (14, 11)))
(u'104859', ((545.0, 547.01333333333332), (1, 1)))
(u'104900', ((545.84750000000008, 546.8075), (2, 3)))
(u'104901', ((545.67000000000007, 546.77999999999997), (4, 2)))
(u'104902', ((545.73090909090922, 430.57333333333321), (16, 14)))
(u'104903', ((545.52928571428572, 390.54642857142852), (5, 5)))
(u'104904', ((532.92697674418605, 470.25139534883726), (2, 10)))
(u'104905', ((506.70142857142883, 536.637857142857), (8, 2)))
(u'104906', ((511.71437500000008, 546.13625000000013), (2, 4)))
(u'104907', ((524.32431372549013, 546.10647058823508), (4, 18)))
(u'104908', ((436.10699999999997, 546.16399999999999), (4, 3)))
(u'104909', ((519.47238095238095, 442.05714285714288), (1, 3)))
(u'104910', ((509.14500000000015, 546.22166666666669), (4, 15)))
(u'104911', ((545.3175, 546.16666666666663), (6, 5)))
(u'104912', ((545.21999999999991, 546.14499999999998), (2, 4)))
(u'104913', ((545.40199999999993, 546.12200000000007), (3, 4)))
(u'104914', ((545.09000000000003, 546.23374999999987), (3, 5)))
(u'104915', ((545.60166666666669, 454.94333333333338), (2, 2)))
(u'104916', ((545.47428571428577, 311.95428571428567), (1, 6)))
(u'104917', ((545.74000000000001, 0.0), (0, 0)))
(u'104918', ((545.63875000000007, 409.58750000000003), (3, 4)))
(u'104919', ((545.49083333333328, 455.48916666666673), (10, 2)))
(u'104920', ((484.66999999999996, 485.60333333333324), (2, 1)))
(u'104921', ((545.59428571428566, 468.38000000000005), (2, 2)))
(u'104922', ((545.23444444444453, 425.14111111111112), (9, 6)))
(u'104923', ((545.745, 272.97833333333335), (2, 3)))
(u'104924', ((545.59199999999998, 436.91900000000004), (3, 4)))
(u'104925', ((522.71958333333339, 432.91791666666671), (1, 9)))
(u'104926', ((545.32200000000012, 547.452), (3, 4)))
(u'104927', ((522.93187499999999, 262.07770833333331), (4, 18)))
(u'104928', ((545.70071428571441, 429.27749999999997), (16, 10)))
(u'104929', ((545.68277777777791, 455.28611111111121), (8, 6)))
(u'104930', ((545.42400000000009, 546.64300000000003), (3, 6)))
(u'104931', ((545.73000000000002, 546.005), (0, 1)))
(u'104932', ((545.67000000000007, 546.17916666666667), (6, 3)))
(u'104933', ((508.83333333333337, 546.51600000000008), (2, 8)))
(u'104934', ((545.50166666666667, 546.68333333333339), (6, 6)))
(u'104935', ((545.54666666666674, 548.41999999999996), (1, 0)))
(u'104936', ((545.21199999999999, 547.23800000000006), (2, 3)))
(u'104937', ((508.88933333333341, 547.10266666666678), (2, 8)))
(u'104938', ((545.57000000000005, 409.78125), (4, 3)))
(u'104939', ((545.88055555555559, 303.46222222222224), (8, 11)))
(u'104940', ((545.48666666666668, 364.29500000000007), (1, 1)))
(u'104941', ((545.62799999999993, 218.68000000000001), (3, 3)))
(u'104942', ((545.73214285714278, 234.1092857142857), (8, 8)))
(u'104943', ((545.68499999999995, 556.08999999999992), (1, 1)))
(u'104944', ((545.75874999999996, 136.55625000000001), (4, 2)))
(u'104945', ((545.89499999999998, 273.09000000000003), (2, 1)))
(u'104948', ((545.96250000000009, 136.52250000000001), (2, 1)))
(u'104949', ((545.94000000000005, 273.04500000000002), (0, 1)))
(u'104950', ((545.9425, 409.625), (3, 2)))
(u'104951', ((545.88085714285694, 374.67200000000008), (13, 14)))
(u'104952', ((544.85000000000002, 409.86249999999995), (1, 2)))
(u'104953', ((545.78666666666675, 182.09333333333333), (2, 1)))
(u'104954', ((546.09399999999994, 109.28399999999999), (1, 2)))
(u'104955', ((545.24142857142863, 546.68142857142857), (4, 1)))
(u'104956', ((546.11000000000001, 0.0), (0, 0)))
(u'104957', ((545.86900000000003, 328.03800000000001), (2, 4)))
(u'104958', ((446.79363636363632, 99.348181818181814), (4, 4)))
(u'104959', ((500.44999999999999, 273.30749999999995), (2, 5)))
(u'105000', ((503.95769230769235, 252.13384615384615), (2, 8)))
(u'105001', ((545.88789473684221, 230.04263157894738), (7, 9)))
(u'105002', ((473.19333333333333, 327.83933333333329), (2, 11)))
(u'105003', ((545.69000000000005, 546.45799999999997), (3, 2)))
(u'105004', ((545.81499999999994, 455.33499999999987), (3, 2)))
(u'105005', ((477.70999999999998, 341.46375), (2, 5)))
(u'105006', ((546.13250000000005, 409.72499999999997), (1, 2)))
(u'105007', ((436.86599999999999, 109.256), (2, 2)))
(u'105008', ((312.06428571428569, 78.039999999999992), (3, 2)))
(u'105009', ((546.08249999999998, 409.83000000000004), (2, 1)))
(u'105010', ((545.98000000000002, 546.43499999999995), (0, 1)))
(u'105011', ((546.03888888888889, 303.78888888888895), (5, 2)))
(u'105012', ((546.00571428571436, 312.1471428571428), (1, 1)))
(u'105013', ((546.03611111111104, 273.39611111111105), (9, 11)))
(u'105014', ((500.56583333333333, 455.35250000000002), (2, 4)))
(u'105015', ((546.06799999999987, 546.452), (3, 2)))
(u'105016', ((546.00083333333339, 455.67000000000007), (5, 4)))
(u'105017', ((546.07545454545459, 546.45727272727265), (4, 6)))
(u'105018', ((546.18285714285707, 546.4785714285714), (5, 2)))
(u'105019', ((545.95000000000005, 546.904), (2, 2)))
(u'105020', ((546.17999999999995, 546.41999999999996), (0, 0)))
(u'105021', ((505.4614285714286, 546.71428571428567), (2, 4)))
(u'105022', ((546.22000000000003, 546.47000000000003), (2, 2)))
(u'105023', ((546.12374999999997, 546.69124999999997), (2, 2)))
(u'105024', ((546.28999999999996, 546.41999999999996), (1, 0)))
(u'105025', ((546.28999999999996, 546.71333333333325), (1, 2)))
(u'105026', ((273.14999999999998, 546.8599999999999), (1, 1)))
(u'105027', ((546.08400000000006, 546.56000000000006), (2, 4)))
(u'105028', ((518.94100000000003, 446.61700000000008), (6, 16)))
(u'105029', ((546.51625000000001, 376.03812499999998), (17, 28)))
(u'105030', ((524.40857142857146, 334.81897959183658), (4, 22)))
(u'105031', ((492.03699999999998, 273.51599999999996), (4, 11)))
(u'105032', ((546.53100000000006, 437.70199999999994), (6, 3)))
(u'105033', ((546.59000000000003, 547.13333333333333), (3, 2)))
(u'105034', ((546.58111111111111, 364.74388888888888), (7, 9)))
(u'105035', ((507.54000000000002, 351.69785714285712), (2, 4)))
(u'105036', ((546.57304347826084, 380.55043478260859), (6, 11)))
(u'105037', ((546.65444444444449, 182.32666666666668), (2, 4)))
(u'105038', ((472.16666666666674, 294.28199999999998), (4, 9)))
(u'105039', ((510.14933333333317, 328.26133333333331), (2, 6)))
(u'105040', ((446.96818181818179, 348.12454545454545), (1, 6)))
(u'105041', ((546.24666666666656, 437.54933333333332), (8, 4)))
(u'105042', ((546.39200000000005, 328.33000000000004), (3, 1)))
(u'105043', ((546.45499999999993, 546.99000000000001), (2, 2)))
(u'105044', ((546.60000000000002, 0.0), (0, 0)))
(u'105045', ((514.1129411764706, 418.26647058823534), (1, 7)))
(u'105046', ((478.073125, 410.17187500000006), (4, 7)))
(u'105047', ((546.1925, 546.8549999999999), (2, 2)))
(u'105048', ((382.55849999999998, 437.46799999999996), (7, 6)))
(u'105049', ((546.30833333333328, 455.61666666666662), (2, 2)))
(u'105050', ((436.89999999999998, 546.74199999999996), (1, 2)))
(u'105051', ((546.28235294117644, 546.72117647058826), (4, 3)))
(u'105052', ((546.27769230769218, 546.70538461538456), (2, 5)))
(u'105053', ((546.19699999999989, 546.68849999999998), (4, 10)))
(u'105054', ((546.32333333333327, 546.66833333333329), (4, 1)))
(u'105055', ((514.14294117647057, 546.7641176470587), (2, 4)))
(u'105056', ((498.86750000000001, 546.745), (2, 4)))
(u'105057', ((544.80437500000005, 377.27000000000004), (2, 6)))
(u'105058', ((546.23538461538453, 420.69076923076921), (5, 3)))
(u'105059', ((504.35000000000008, 294.46923076923071), (1, 7)))
(u'105100', ((473.56733333333347, 328.10000000000002), (3, 5)))
(u'105101', ((546.46000000000004, 273.38999999999999), (1, 1)))
(u'105102', ((546.33833333333337, 455.58500000000004), (2, 2)))
(u'105103', ((546.21555555555562, 425.51666666666665), (4, 4)))
(u'105104', ((544.06909090909085, 397.85454545454542), (1, 5)))
(u'105105', ((546.34500000000003, 273.33999999999997), (1, 1)))
(u'105106', ((545.99000000000001, 547.32666666666671), (1, 1)))
(u'105108', ((436.99599999999998, 328.21199999999999), (1, 1)))
(u'105110', ((546.33749999999998, 273.3075), (1, 3)))
(u'105111', ((546.36000000000001, 546.66499999999996), (0, 1)))
(u'105112', ((455.11166666666668, 273.48250000000002), (3, 4)))
(u'105113', ((546.08249999999998, 547.16750000000002), (1, 2)))
(u'105114', ((546.04083333333335, 364.61666666666673), (6, 3)))
(u'105115', ((546.36000000000001, 273.315), (0, 1)))
(u'105116', ((390.26142857142855, 312.32999999999998), (3, 4)))
(u'105117', ((545.80500000000006, 273.255), (1, 1)))
(u'105118', ((460.03631578947369, 230.18526315789472), (3, 10)))
(u'105119', ((485.62666666666672, 364.37888888888887), (2, 4)))
(u'105120', ((546.36000000000001, 0.0), (0, 0)))
(u'105121', ((364.23666666666668, 364.43333333333334), (2, 1)))
(u'105122', ((545.69749999999999, 410.15249999999997), (3, 1)))
(u'105123', ((546.36000000000001, 273.245), (0, 1)))
(u'105124', ((467.98000000000002, 234.37285714285716), (2, 3)))
(u'105125', ((545.25, 547.05999999999995), (0, 1)))
(u'105126', ((436.63200000000006, 328.12400000000002), (2, 3)))
(u'105127', ((436.37399999999997, 328.12200000000001), (2, 2)))
(u'105128', ((546.34500000000003, 273.245), (1, 1)))
(u'105131', ((546.35000000000002, 0.0), (0, 0)))
(u'105132', ((546.36000000000001, 0.0), (0, 0)))
(u'105133', ((546.08470588235298, 225.16705882352943), (6, 6)))
(u'105134', ((546.23823529411766, 289.27705882352939), (2, 7)))
(u'105135', ((545.51405405405399, 369.19567567567555), (2, 17)))
(u'105136', ((546.16999999999996, 0.0), (0, 0)))
(u'105137', ((474.92124999999999, 412.28375), (2, 3)))
(u'105138', ((455.12999999999994, 273.19), (2, 4)))
(u'105139', ((545.97499999999991, 455.51500000000004), (6, 4)))
(u'105142', ((390.11714285714288, 156.13214285714284), (8, 8)))
(u'105144', ((545.78666666666652, 546.61666666666667), (1, 1)))
(u'105145', ((546.13999999999999, 546.4666666666667), (0, 2)))
(u'105146', ((546.04999999999995, 546.46000000000004), (0, 0)))
(u'105147', ((545.98666666666668, 546.59000000000003), (2, 1)))
(u'105149', ((546.13999999999999, 546.44000000000005), (0, 0)))
(u'105150', ((545.73666666666657, 546.45333333333338), (1, 1)))
(u'105151', ((546.18285714285719, 468.37714285714281), (3, 2)))
(u'105152', ((546.13999999999999, 546.44000000000005), (0, 0)))
(u'105153', ((546.20000000000005, 546.44000000000005), (0, 0)))
(u'105154', ((546.02666666666676, 546.61666666666667), (1, 1)))
(u'105155', ((546.19299999999998, 491.83500000000004), (2, 2)))
(u'105156', ((545.97333333333336, 546.62333333333333), (2, 2)))
(u'105157', ((545.97800000000007, 546.59399999999994), (3, 3)))
(u'105158', ((545.1400000000001, 546.44000000000005), (1, 0)))
(u'105159', ((509.37, 473.62466666666683), (1, 2)))
(u'105200', ((545.35560975609758, 399.78536585365862), (8, 16)))
(u'105201', ((545.04295454545422, 484.20750000000004), (8, 10)))
(u'105202', ((531.18210526315784, 402.57394736842099), (2, 16)))
(u'105203', ((545.57875000000001, 375.60687500000006), (4, 5)))
(u'105204', ((545.22500000000002, 546.30500000000006), (1, 1)))
(u'105205', ((251.88307692307689, 336.33230769230767), (6, 6)))
(u'105206', ((424.4355555555556, 485.44333333333333), (3, 2)))
(u'105207', ((0.0, 409.72499999999997), (0, 2)))
(u'105208', ((311.74000000000007, 390.19), (3, 2)))
(u'105209', ((363.85666666666674, 364.16666666666669), (3, 3)))
(u'105210', ((327.32800000000009, 546.17399999999998), (2, 1)))
(u'105211', ((545.84000000000003, 547.08500000000004), (0, 1)))
(u'105212', ((545.31000000000006, 545.96400000000006), (3, 1)))
(u'105213', ((545.73000000000002, 546.13999999999999), (0, 0)))
(u'105214', ((181.66999999999999, 545.99000000000001), (2, 0)))
(u'105215', ((0.0, 546.43499999999995), (0, 1)))
(u'105216', ((409.35500000000002, 409.75), (1, 1)))
(u'105217', ((99.2440909090909, 422.18954545454545), (8, 8)))
(u'105218', ((90.975000000000009, 364.28500000000003), (2, 4)))
(u'105219', ((545.85000000000002, 547.07999999999993), (0, 1)))
(u'105220', ((545.72500000000002, 546.00999999999999), (1, 3)))
(u'105221', ((496.0981818181819, 546.02454545454543), (2, 2)))
(u'105222', ((477.00750000000005, 545.96500000000015), (2, 4)))
(u'105223', ((544.98000000000002, 546.40600000000006), (4, 2)))
(u'105225', ((109.07000000000001, 546.13400000000001), (2, 2)))
(u'105226', ((545.73000000000002, 546.0), (0, 0)))
(u'105227', ((545.495, 546.255), (1, 1)))
(u'105228', ((381.72200000000004, 492.35599999999994), (6, 1)))
(u'105229', ((467.76428571428579, 546.08571428571429), (1, 2)))
(u'105230', ((454.62000000000006, 363.9783333333333), (1, 3)))
(u'105231', ((488.67150000000004, 464.11550000000005), (4, 6)))
(u'105232', ((491.00400000000008, 436.75900000000001), (2, 3)))
(u'105233', ((472.7639999999999, 363.98199999999997), (4, 9)))
(u'105234', ((545.52299999999991, 436.63499999999993), (4, 3)))
(u'105235', ((545.48800000000006, 327.56999999999999), (3, 3)))
(u'105237', ((545.39999999999998, 272.89749999999998), (1, 1)))
(u'105238', ((545.42461538461544, 419.93384615384616), (5, 4)))
(u'105240', ((544.90583333333336, 454.95999999999998), (3, 4)))
(u'105241', ((544.8862499999999, 477.65874999999994), (5, 2)))
(u'105242', ((545.24285714285713, 311.85857142857145), (3, 3)))
(u'105243', ((544.49000000000001, 545.82999999999993), (1, 1)))
(u'105244', ((519.33023809523786, 441.86285714285719), (4, 13)))
(u'105245', ((377.45461538461535, 378.09076923076924), (6, 5)))
(u'105246', ((272.72000000000003, 545.70000000000005), (1, 0)))
(u'105247', ((545.50400000000002, 545.63600000000008), (1, 2)))
(u'105248', ((545.48000000000002, 272.85000000000002), (1, 1)))
(u'105249', ((335.58538461538467, 419.85769230769228), (8, 4)))
(u'105250', ((545.33500000000004, 545.87833333333344), (2, 3)))
(u'105251', ((459.26736842105265, 517.15421052631598), (5, 2)))
(u'105252', ((545.39833333333331, 546.23166666666668), (1, 2)))
(u'105253', ((477.12541666666675, 500.46499999999992), (5, 2)))
(u'105254', ((311.68785714285713, 428.84499999999997), (8, 4)))
(u'105255', ((436.072, 437.20199999999994), (2, 2)))
