(second, ((avg best buy, avg best ask), (#crossings best buy, #crossings best ask)))
(u'040735', ((554.16999999999996, 556.2025000000001), (0, 1)))
(u'040739', ((554.16999999999996, 556.17999999999995), (0, 0)))
(u'040746', ((554.16999999999996, 556.20600000000002), (0, 3)))
(u'040757', ((554.16999999999996, 556.15499999999997), (0, 3)))
(u'040810', ((554.16999999999996, 556.11500000000001), (0, 3)))
(u'040811', ((554.16999999999996, 556.13499999999999), (0, 1)))
(u'040815', ((554.16999999999996, 556.12), (0, 0)))
(u'040822', ((554.16999999999996, 556.10500000000002), (0, 1)))
(u'040824', ((554.16999999999996, 556.09000000000003), (0, 0)))
(u'040826', ((554.16999999999996, 556.07000000000005), (0, 1)))
(u'040835', ((554.16999999999996, 556.09500000000003), (0, 1)))
(u'040837', ((554.16999999999996, 556.07000000000005), (0, 2)))
(u'040839', ((554.16999999999996, 556.03999999999996), (0, 1)))
(u'040842', ((554.16999999999996, 556.0866666666667), (0, 1)))
(u'040843', ((554.16999999999996, 556.125), (0, 1)))
(u'040848', ((554.16999999999996, 556.15333333333331), (0, 1)))
(u'040849', ((554.16999999999996, 556.10500000000002), (0, 1)))
(u'040854', ((554.16999999999996, 556.15333333333331), (0, 1)))
(u'040901', ((554.16999999999996, 556.17333333333329), (0, 2)))
(u'040902', ((554.16999999999996, 556.125), (0, 4)))
(u'040904', ((554.16999999999996, 556.06499999999994), (0, 2)))
(u'040905', ((554.16999999999996, 556.10166666666657), (0, 1)))
(u'040906', ((554.16999999999996, 556.14999999999998), (0, 1)))
(u'040910', ((554.16999999999996, 556.18000000000006), (0, 1)))
(u'040914', ((554.16999999999996, 556.1825), (0, 1)))
(u'040938', ((552.10249999999996, 558.09750000000008), (2, 1)))
(u'040942', ((554.16999999999996, 556.19000000000005), (0, 0)))
(u'040957', ((554.16999999999996, 556.17499999999995), (0, 1)))
(u'040958', ((554.16999999999996, 556.22000000000003), (0, 2)))
(u'040959', ((554.16999999999996, 556.16799999999989), (0, 3)))
(u'041004', ((554.16999999999996, 556.20571428571429), (0, 3)))
(u'041005', ((550.86199999999997, 557.75399999999991), (3, 1)))
(u'041007', ((554.16999999999996, 556.14499999999998), (0, 1)))
(u'041008', ((554.16999999999996, 556.125), (0, 1)))
(u'041017', ((554.16999999999996, 556.13285714285712), (0, 4)))
(u'041018', ((554.16999999999996, 556.13666666666666), (0, 1)))
(u'041021', ((554.16999999999996, 556.15375000000006), (0, 4)))
(u'041023', ((554.16999999999996, 556.13499999999999), (0, 1)))
